CUSTOMER_SK,C_CUSTKEY,C_NAME,C_ADDRESS,C_NATIONKEY,C_PHONE,C_ACCTBAL,C_MKTSEGMENT,START_DATE,END_DATE,IS_CURRENT,RECORD_SOURCE
1,1,Customer#000000001,"IVhzIApeRb ot,c,E",15,259897412988,712.00,BUILDING,1990-01-01 00:00:00.000,2025-11-30 06:19:05.641,false,INITIAL_LOAD
2,2,Customer#000000002,"XSTf4,NCwDVaWNe6tEgvwfmRchLXak",13,237686873665,122.00,AUTOMOBILE,1990-01-01 00:00:00.000,9999-12-31 23:59:59.000,true,INITIAL_LOAD
3,3,Customer#000000003,MG9kdTD2WBHm,1,117197483364,7498.00,AUTOMOBILE,1990-01-01 00:00:00.000,9999-12-31 23:59:59.000,true,INITIAL_LOAD
4,4,Customer#000000004,XxVSJsLAGtn,4,141281905944,2867.00,MACHINERY,1990-01-01 00:00:00.000,9999-12-31 23:59:59.000,true,INITIAL_LOAD
5,5,Customer#000000005,KvpyuHCplrB84WgAiGV6sYpZq7Tj,3,137509426364,794.00,HOUSEHOLD,1990-01-01 00:00:00.000,9999-12-31 23:59:59.000,true,INITIAL_LOAD
6,6,Customer#000000006,"sKZz0CsnMD7mp4Xd0YrBvx,LREYKUWAh yVn",20,301149684951,7639.00,AUTOMOBILE,1990-01-01 00:00:00.000,9999-12-31 23:59:59.000,true,INITIAL_LOAD
7,7,Customer#000000007,TcGe5gaZNgVePxU5kRrvXBfkasDTea,18,281909829759,9562.00,AUTOMOBILE,1990-01-01 00:00:00.000,9999-12-31 23:59:59.000,true,INITIAL_LOAD
8,8,Customer#000000008,"I0B10bB0AymmC, 0PrRYBCP1yGJ8xcBPmWhl5",17,271475749335,6820.00,BUILDING,1990-01-01 00:00:00.000,9999-12-31 23:59:59.000,true,INITIAL_LOAD
9,9,Customer#000000009,xKiAFTjUsCuxfeleNqefumTrjS,8,183389063675,8324.00,FURNITURE,1990-01-01 00:00:00.000,9999-12-31 23:59:59.000,true,INITIAL_LOAD
10,10,Customer#000000010,6LrEaV6KR6PLVcgl2ArL Q3rqzLzcT1 v2,5,157413469870,2754.00,HOUSEHOLD,1990-01-01 00:00:00.000,9999-12-31 23:59:59.000,true,INITIAL_LOAD
11,11,Customer#000000011,PkWS 3HlXqwTuzrKg633BEi,23,334641513439,0.00,BUILDING,1990-01-01 00:00:00.000,9999-12-31 23:59:59.000,true,INITIAL_LOAD
12,12,Customer#000000012,9PWKuhzT4Zr1Q,13,237912761263,3396.00,HOUSEHOLD,1990-01-01 00:00:00.000,9999-12-31 23:59:59.000,true,INITIAL_LOAD
13,13,Customer#000000013,nsXQu0oVjD7PM659uC3SRSp,3,137615475974,3857.00,BUILDING,1990-01-01 00:00:00.000,9999-12-31 23:59:59.000,true,INITIAL_LOAD
14,14,Customer#000000014,KXkletMlL2JQEA,1,118451293851,5266.00,FURNITURE,1990-01-01 00:00:00.000,9999-12-31 23:59:59.000,true,INITIAL_LOAD
15,15,Customer#000000015,"YtWggXoOLdwdo7b0y,BZaGUQMLJMX1Y,EC,6Dn",23,336875427601,2789.00,HOUSEHOLD,1990-01-01 00:00:00.000,9999-12-31 23:59:59.000,true,INITIAL_LOAD
16,16,Customer#000000016,"cYiaeMLZSMAOQ2 d0W,",10,207816093107,4681.00,FURNITURE,1990-01-01 00:00:00.000,9999-12-31 23:59:59.000,true,INITIAL_LOAD
17,17,Customer#000000017,izrh 6jdqtp2eqdtbkswDD8SG4SzXruMfIXyR7,2,129706823487,6.00,AUTOMOBILE,1990-01-01 00:00:00.000,9999-12-31 23:59:59.000,true,INITIAL_LOAD
18,18,Customer#000000018,3txGO AiuFux3zT0Z9NYaFRnZt,6,161552151315,5494.00,BUILDING,1990-01-01 00:00:00.000,9999-12-31 23:59:59.000,true,INITIAL_LOAD
19,19,Customer#000000019,"uc,3bHIx84H,wdrmLOjVsiqXCq2tr",18,283965265053,8915.00,HOUSEHOLD,1990-01-01 00:00:00.000,9999-12-31 23:59:59.000,true,INITIAL_LOAD
20,20,Customer#000000020,JrPk8Pqplj4Ne,22,329572348742,7603.00,FURNITURE,1990-01-01 00:00:00.000,9999-12-31 23:59:59.000,true,INITIAL_LOAD
21,21,Customer#000000021,XYmVpr9yAHDEn,8,189026148344,1428.00,MACHINERY,1990-01-01 00:00:00.000,9999-12-31 23:59:59.000,true,INITIAL_LOAD
22,22,Customer#000000022,"QI6p41,FNs5k7RZoCCVPUTkUdYpB",3,138065459701,592.00,MACHINERY,1990-01-01 00:00:00.000,9999-12-31 23:59:59.000,true,INITIAL_LOAD
23,23,Customer#000000023,OdY W13N7Be3OC5MpgfmcYss0Wn6TKT,3,133124728245,3332.00,HOUSEHOLD,1990-01-01 00:00:00.000,9999-12-31 23:59:59.000,true,INITIAL_LOAD
24,24,Customer#000000024,HXAFgIAyjxtdqwimt13Y3OZO 4xeLe7U8PqG,13,231278518031,9256.00,MACHINERY,1990-01-01 00:00:00.000,9999-12-31 23:59:59.000,true,INITIAL_LOAD
25,25,Customer#000000025,Hp8GyFQgGHFYSilH5tBfe,12,226034683533,7134.00,FURNITURE,1990-01-01 00:00:00.000,9999-12-31 23:59:59.000,true,INITIAL_LOAD
26,26,Customer#000000026,8ljrc5ZeMl7UciP,22,323634554837,5182.00,AUTOMOBILE,1990-01-01 00:00:00.000,9999-12-31 23:59:59.000,true,INITIAL_LOAD
27,27,Customer#000000027,IS8GIyxpBrLpMT0u7,3,131371932709,5680.00,BUILDING,1990-01-01 00:00:00.000,9999-12-31 23:59:59.000,true,INITIAL_LOAD
28,28,Customer#000000028,"iVyg0daQ,Tha8x2WPWA9m2529m",8,187742411462,1007.00,FURNITURE,1990-01-01 00:00:00.000,9999-12-31 23:59:59.000,true,INITIAL_LOAD
29,29,Customer#000000029,"sJ5adtfyAkCK63df2,vF25zyQMVYE34uh",0,107732037342,7618.00,FURNITURE,1990-01-01 00:00:00.000,9999-12-31 23:59:59.000,true,INITIAL_LOAD
30,30,Customer#000000030,nJDsELGAavU63Jl0c5NKsKfL8rIJQQkQnYL2QJY,1,117641655076,9321.00,BUILDING,1990-01-01 00:00:00.000,9999-12-31 23:59:59.000,true,INITIAL_LOAD
31,31,Customer#000000031,LUACbO0viaAv6eXOAebryDB xjVst,23,331978377094,5237.00,HOUSEHOLD,1990-01-01 00:00:00.000,9999-12-31 23:59:59.000,true,INITIAL_LOAD
32,32,Customer#000000032,"jD2xZzi UmId,DCtNBLXKj9q0Tlp2iQ6ZcO3J",15,254309142194,3472.00,BUILDING,1990-01-01 00:00:00.000,9999-12-31 23:59:59.000,true,INITIAL_LOAD
33,33,Customer#000000033,qFSlMuLucBmx9xnn5ib2csWUweg D,17,273753911280,0.00,AUTOMOBILE,1990-01-01 00:00:00.000,9999-12-31 23:59:59.000,true,INITIAL_LOAD
34,34,Customer#000000034,"Q6G9wZ6dnczmtOx509xgE,M2KV",15,253449685422,8590.00,HOUSEHOLD,1990-01-01 00:00:00.000,9999-12-31 23:59:59.000,true,INITIAL_LOAD
35,35,Customer#000000035,TEjWGE4nBzJL2,17,275668887431,1228.00,HOUSEHOLD,1990-01-01 00:00:00.000,9999-12-31 23:59:59.000,true,INITIAL_LOAD
36,36,Customer#000000036,"3TvCzjuPzpJ0,DdJ8kW5U",21,317046695769,4987.00,BUILDING,1990-01-01 00:00:00.000,9999-12-31 23:59:59.000,true,INITIAL_LOAD
37,37,Customer#000000037,"7EV4Pwh,3SboctTWt",8,183852357162,0.00,FURNITURE,1990-01-01 00:00:00.000,9999-12-31 23:59:59.000,true,INITIAL_LOAD
38,38,Customer#000000038,a5Ee5e9568R8RLP 2ap7,12,223068807212,6345.00,HOUSEHOLD,1990-01-01 00:00:00.000,9999-12-31 23:59:59.000,true,INITIAL_LOAD
39,39,Customer#000000039,"nnbRg,Pvy33dfkorYE FdeZ60",2,123874676509,6264.00,AUTOMOBILE,1990-01-01 00:00:00.000,9999-12-31 23:59:59.000,true,INITIAL_LOAD
40,40,Customer#000000040,gOnGWAyhSV1ofv,3,136529158939,1335.00,BUILDING,1990-01-01 00:00:00.000,9999-12-31 23:59:59.000,true,INITIAL_LOAD
41,41,Customer#000000041,IM9mzmyoxeBmvNw8lA7G3Ydska2nkZF,10,209177114011,271.00,HOUSEHOLD,1990-01-01 00:00:00.000,9999-12-31 23:59:59.000,true,INITIAL_LOAD
42,42,Customer#000000042,ziSrvyyBke,5,154163304175,8727.00,BUILDING,1990-01-01 00:00:00.000,9999-12-31 23:59:59.000,true,INITIAL_LOAD
43,43,Customer#000000043,ouSbjHk8lh5fKX3zGso3ZSIj9Aa3PoaFd,19,293166652897,9904.00,MACHINERY,1990-01-01 00:00:00.000,9999-12-31 23:59:59.000,true,INITIAL_LOAD
44,44,Customer#000000044,"Oi,dOSPwDu4jo4x,,P85E0dmhZGvNtBwi",16,261902605375,7316.00,AUTOMOBILE,1990-01-01 00:00:00.000,9999-12-31 23:59:59.000,true,INITIAL_LOAD
45,45,Customer#000000045,"4v3OcpFgoOmMG,CbnF,4mdC",9,197152989917,9983.00,AUTOMOBILE,1990-01-01 00:00:00.000,9999-12-31 23:59:59.000,true,INITIAL_LOAD
46,46,Customer#000000046,eaTXWWm10L9,6,163576812007,5745.00,AUTOMOBILE,1990-01-01 00:00:00.000,9999-12-31 23:59:59.000,true,INITIAL_LOAD
