C_CUSTKEY,C_NAME,C_ADDRESS,C_NATIONKEY,C_PHONE,C_ACCTBAL,C_MKTSEGMENT,C_COMMENT
2001,Customer#2001_UPDATED,ADDR-NEW,5,918883332222,1000,AUTOMOBILE,Updated record
1,Customer#1,ADDR-2001,5,919990001111,451,BUILDING,Duplicate same data
2,Customer#000000002,"XSTf4,NCwDVaWNe6tEgvwfmRchLXak",13,237686873665,122,AUTOMOBILE,l accounts. blithely ironic theodolites integrate boldly: caref
3,Customer#000000003,MG9kdTD2WBHm,1,117197483364,7498,AUTOMOBILE,"deposits eat slyly ironic, even instructions. express foxes detect slyly. blithely even accounts abov"
4,Customer#000000004,XxVSJsLAGtn,4,141281905944,2867,MACHINERY,"requests. final, regular ideas sleep final accou"
5,Customer#000000005,KvpyuHCplrB84WgAiGV6sYpZq7Tj,3,137509426364,794,HOUSEHOLD,n accounts will have to unwind. foxes cajole accor
6,Customer#000000006,"sKZz0CsnMD7mp4Xd0YrBvx,LREYKUWAh yVn",20,301149684951,7639,AUTOMOBILE,tions. even deposits boost according to the slyly bold packages. final accounts cajole requests. furious
7,Customer#000000007,TcGe5gaZNgVePxU5kRrvXBfkasDTea,18,281909829759,9562,AUTOMOBILE,"ainst the ironic, express theodolites. express, even pinto beans among the exp"
8,Customer#000000008,"I0B10bB0AymmC, 0PrRYBCP1yGJ8xcBPmWhl5",17,271475749335,6820,BUILDING,among the slyly regular theodolites kindle blithely courts. carefully even theodolites haggle slyly along the ide
9,Customer#000000009,xKiAFTjUsCuxfeleNqefumTrjS,8,183389063675,8324,FURNITURE,r theodolites according to the requests wake thinly excuses: pending requests haggle furiousl
10,Customer#000000010,6LrEaV6KR6PLVcgl2ArL Q3rqzLzcT1 v2,5,157413469870,2754,HOUSEHOLD,es regular deposits haggle. fur
11,Customer#000000011,PkWS 3HlXqwTuzrKg633BEi,23,334641513439,0,BUILDING,ckages. requests sleep slyly. quickly even pinto beans promise above the slyly regular pinto beans.
12,Customer#000000012,9PWKuhzT4Zr1Q,13,237912761263,3396,HOUSEHOLD,to the carefully final braids. blithely regular requests nag. ironic theodolites boost quickly along
13,Customer#000000013,nsXQu0oVjD7PM659uC3SRSp,3,137615475974,3857,BUILDING,ounts sleep carefully after the close frays. carefully bold notornis use ironic requests. blithely
14,Customer#000000014,KXkletMlL2JQEA,1,118451293851,5266,FURNITURE,", ironic packages across the unus"
